gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2021-11-22 09:51:28,Goldman Sachs,Neutral,,init,Announces,28.0,0.0
2021-12-17 13:15:19,Goldman Sachs,Neutral,,main,Lowers,22.0,28.0
2022-05-17 14:40:55,Benchmark,Buy,,main,Lowers,15.0,20.0
2022-05-19 11:56:07,Goldman Sachs,Neutral,,main,Lowers,10.0,19.0
2022-06-08 08:40:33,Needham,Buy,,init,Announces,9.0,0.0
2022-08-16 12:46:13,Goldman Sachs,Neutral,,main,Raises,9.0,8.0
2022-11-16 14:12:04,Benchmark,Buy,,main,Lowers,8.0,12.0
2023-03-21 11:53:37,Benchmark,Buy,,reit,Maintains,8.0,0.0
2023-03-31 10:31:03,Needham,Buy,,reit,Maintains,9.0,0.0
2023-03-31 12:11:10,Benchmark,Buy,,reit,Maintains,8.0,0.0
2023-04-26 10:56:57,Morgan Stanley,Equal-Weight,,init,Announces,7.0,0.0
2023-05-12 13:02:41,Needham,Buy,Buy,reit,Maintains,9.0,0.0
2023-06-26 10:16:35,Needham,Buy,Buy,main,Raises,11.0,9.0
2023-07-13 10:03:17,WestPark Capital,Hold,Buy,down,,0.0,0.0
2023-07-17 14:30:57,Benchmark,Buy,Buy,main,Raises,17.0,8.0
2023-08-11 13:46:57,Craig-Hallum,Buy,Buy,main,Raises,21.0,12.0
2023-08-11 17:11:00,Needham,Buy,Buy,main,Raises,18.0,11.0
2023-08-14 12:14:05,Goldman Sachs,Neutral,Neutral,main,Raises,14.0,9.0
2023-08-14 12:26:43,Benchmark,Buy,Buy,main,Raises,20.0,17.0
2023-08-14 12:55:24,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,16.0,7.0
2023-09-20 11:03:16,Needham,Buy,Buy,reit,Maintains,18.0,0.0
2023-10-30 14:27:24,Morgan Stanley,Equal-Weight,Equal-Weight,main,Lowers,12.0,16.0
2024-02-29 13:34:39,Needham,Buy,Buy,reit,Maintains,18.0,0.0
2024-02-29 14:59:18,Goldman Sachs,Neutral,Neutral,main,Lowers,11.5,13.0
2024-05-09 18:08:34,Needham,Buy,Buy,reit,Maintains,18.0,18.0
2024-05-16 09:33:07,Needham,Buy,Buy,reit,Maintains,18.0,18.0
2024-08-08 15:59:53,Craig-Hallum,Buy,Buy,main,Lowers,15.0,21.0
2024-08-09 15:43:58,Goldman Sachs,Neutral,Neutral,main,Lowers,8.0,11.5
2024-08-12 16:54:53,Benchmark,Buy,Buy,main,Lowers,12.0,16.0
